file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,44,css,52307f40,Mohak Akul Prakash,2025-04-09,23:12:12,-07:00,2025-04-09T23:12:12-07:00,0,16
style.css,45,css,95062c16,Mohak Akul Prakash,2025-04-16,12:30:58,-07:00,2025-04-16T12:30:58-07:00,0,21
style.css,46,css,c10551be,Mohak Akul Prakash,2025-04-23,19:48:36,-07:00,2025-04-23T19:48:36-07:00,0,20
style.css,47,css,c10551be,Mohak Akul Prakash,2025-04-23,19:48:36,-07:00,2025-04-23T19:48:36-07:00,0,36
style.css,48,css,c10551be,Mohak Akul Prakash,2025-04-23,19:48:36,-07:00,2025-04-23T19:48:36-07:00,0,25
style.css,49,css,e52563b0,Mohak Akul Prakash,2025-04-10,00:29:15,-07:00,2025-04-10T00:29:15-07:00,0,0
style.css,50,css,e52563b0,Mohak Akul Prakash,2025-04-10,00:29:15,-07:00,2025-04-10T00:29:15-07:00,0,0
style.css,51,css,e52563b0,Mohak Akul Prakash,2025-04-10,00:29:15,-07:00,2025-04-10T00:29:15-07:00,0,14
style.css,52,css,e52563b0,Mohak Akul Prakash,2025-04-10,00:29:15,-07:00,2025-04-10T00:29:15-07:00,0,17
style.css,53,css,c10551be,Mohak Akul Prakash,2025-04-23,19:48:36,-07:00,2025-04-23T19:48:36-07:00,0,44
style.css,54,css,52307f40,Mohak Akul Prakash,2025-04-09,23:12:12,-07:00,2025-04-09T23:12:12-07:00,0,0
style.css,55,css,52307f40,Mohak Akul Prakash,2025-04-09,23:12:12,-07:00,2025-04-09T23:12:12-07:00,0,0
style.css,56,css,52307f40,Mohak Akul Prakash,2025-04-09,23:12:12,-07:00,2025-04-09T23:12:12-07:00,0,12
style.css,57,css,95062c16,Mohak Akul Prakash,2025-04-16,12:30:58,-07:00,2025-04-16T12:30:58-07:00,0,44
style.css,58,css,e52563b0,Mohak Akul Prakash,2025-04-10,00:29:15,-07:00,2025-04-10T00:29:15-07:00,0,26
style.css,59,css,c10551be,Mohak Akul Prakash,2025-04-23,19:48:36,-07:00,2025-04-23T19:48:36-07:00,0,70
style.css,60,css,52307f40,Mohak Akul Prakash,2025-04-09,23:12:12,-07:00,2025-04-09T23:12:12-07:00,0,0
style.css,61,css,52307f40,Mohak Akul Prakash,2025-04-09,23:12:12,-07:00,2025-04-09T23:12:12-07:00,0,0
style.css,62,css,52307f40,Mohak Akul Prakash,2025-04-09,23:12:12,-07:00,2025-04-09T23:12:12-07:00,0,3
style.css,63,css,d352e19a,Mohak Akul Prakash,2025-04-17,11:38:51,-07:00,2025-04-17T11:38:51-07:00,0,17
style.css,64,css,c10551be,Mohak Akul Prakash,2025-04-23,19:48:36,-07:00,2025-04-23T19:48:36-07:00,0,19
style.css,65,css,c10551be,Mohak Akul Prakash,2025-04-23,19:48:36,-07:00,2025-04-23T19:48:36-07:00,0,42
style.css,66,css,c10551be,Mohak Akul Prakash,2025-04-23,19:48:36,-07:00,2025-04-23T19:48:36-07:00,0,18
style.css,67,css,c10551be,Mohak Akul Prakash,2025-04-23,19:48:36,-07:00,2025-04-23T19:48:36-07:00,0,14
style.css,68,css,52307f40,Mohak Akul Prakash,2025-04-09,23:12:12,-07:00,2025-04-09T23:12:12-07:00,0,0
style.css,69,css,52307f40,Mohak Akul Prakash,2025-04-09,23:12:12,-07:00,2025-04-09T23:12:12-07:00,0,0
style.css,70,css,52307f40,Mohak Akul Prakash,2025-04-09,23:12:12,-07:00,2025-04-09T23:12:12-07:00,0,2
style.css,71,css,c10551be,Mohak Akul Prakash,2025-04-23,19:48:36,-07:00,2025-04-23T19:48:36-07:00,0,16
style.css,72,css,c10551be,Mohak Akul Prakash,2025-04-23,19:48:36,-07:00,2025-04-23T19:48:36-07:00,0,19
style.css,73,css,52307f40,Mohak Akul Prakash,2025-04-09,23:12:12,-07:00,2025-04-09T23:12:12-07:00,0,0
style.css,74,css,52307f40,Mohak Akul Prakash,2025-04-09,23:12:12,-07:00,2025-04-09T23:12:12-07:00,0,0
style.css,75,css,52307f40,Mohak Akul Prakash,2025-04-09,23:12:12,-07:00,2025-04-09T23:12:12-07:00,0,4
style.css,76,css,52307f40,Mohak Akul Prakash,2025-04-09,23:12:12,-07:00,2025-04-09T23:12:12-07:00,0,15
style.css,77,css,52307f40,Mohak Akul Prakash,2025-04-09,23:12:12,-07:00,2025-04-09T23:12:12-07:00,0,12
style.css,78,css,1552114c,Mohak Akul Prakash,2025-04-10,01:52:29,-07:00,2025-04-10T01:52:29-07:00,0,42
style.css,79,css,52307f40,Mohak Akul Prakash,2025-04-09,23:12:12,-07:00,2025-04-09T23:12:12-07:00,0,14
style.css,80,css,27e26a9f,Mohak Akul Prakash,2025-04-23,19:38:51,-07:00,2025-04-23T19:38:51-07:00,0,0
style.css,81,css,27e26a9f,Mohak Akul Prakash,2025-04-23,19:38:51,-07:00,2025-04-23T19:38:51-07:00,0,0
style.css,82,css,c10551be,Mohak Akul Prakash,2025-04-23,19:48:36,-07:00,2025-04-23T19:48:36-07:00,0,19
style.css,83,css,c10551be,Mohak Akul Prakash,2025-04-23,19:48:36,-07:00,2025-04-23T19:48:36-07:00,0,18
style.css,84,css,c10551be,Mohak Akul Prakash,2025-04-23,19:48:36,-07:00,2025-04-23T19:48:36-07:00,0,9
style.css,85,css,c10551be,Mohak Akul Prakash,2025-04-23,19:48:36,-07:00,2025-04-23T19:48:36-07:00,0,11
style.css,86,css,c10551be,Mohak Akul Prakash,2025-04-23,19:48:36,-07:00,2025-04-23T19:48:36-07:00,0,14
